"day_local","take_off","datetime_utc","epoch","dji_lat","dji_long","dji_alt","temp","hum","pres","dewtemp","temp_k","svp","avp","mratio","pottemp","vpottemp","dji_status"
"20230309","12",2023-03-09 02:03:42,1678327422,-23.5044283642708,152.093424875317,675.4,22.89,74.6,936.58,18.14,296.39,27.8520182135658,20.7776055873201,14.1111744476637,301.990708620733,304.590189198995,"ascent"
"20230309","12",2023-03-09 02:03:43,1678327423,-23.5044283903264,152.093424946,678.2,22.84,74.9,936.25,18.15,296.34,27.7677773242186,20.7980652158398,14.1304771236797,301.970167029148,304.573026376864,"ascent"
"20230309","12",2023-03-09 02:03:44,1678327424,-23.5044284301196,152.093424866124,681.07,22.81,74.6,935.9,18.06,296.31,27.7173399817753,20.6771356264044,14.0518321232685,301.971854701529,304.560241964542,"ascent"
"20230309","12",2023-03-09 02:03:45,1678327425,-23.5044284832381,152.093424790675,684.21,22.74,74.4,935.58,17.95,296.24,27.5999647873113,20.5343738017596,13.9575165519817,301.930016457486,304.500674310856,"ascent"
"20230309","12",2023-03-09 02:03:46,1678327426,-23.5044284787248,152.093424636456,687.36,22.7,74.3,935.27,17.89,296.2,27.533088911156,20.4570850609889,13.9085194225002,301.91783412626,304.479364462826,"ascent"
"20230309","12",2023-03-09 02:03:47,1678327427,-23.5044286122315,152.09342502101,690.36,22.67,74.1,934.95,17.82,296.17,27.4830251927114,20.3649216677992,13.8493078772058,301.916772893038,304.467389281101,"ascent"
"20230309","12",2023-03-09 02:03:48,1678327428,-23.5044286088596,152.09342553368,693.36,22.71,74.3,934.61,17.9,296.21,27.5497945595265,20.4694973577282,13.927195255857,301.988930265427,304.554504131544,"ascent"
"20230309","12",2023-03-09 02:03:49,1678327429,-23.5044285962765,152.093425593903,696.36,22.67,74.3,934.34,17.86,296.17,27.4830251927114,20.4198877181846,13.8967918458095,301.973077360152,304.532916129611,"ascent"
"20230309","12",2023-03-09 02:03:50,1678327430,-23.504428544875,152.093425559001,699.35,22.63,73.8,934.02,17.72,296.13,27.4163976144744,20.2333014394821,13.7718206186837,301.96184529174,304.498569555638,"ascent"
"20230309","12",2023-03-09 02:03:51,1678327431,-23.5044285929594,152.093425566161,702.34,22.61,73.7,933.66,17.68,296.11,27.3831369162087,20.1813719072458,13.7411073440846,301.974710379636,304.505885195056,"ascent"
"20230309","12",2023-03-09 02:03:52,1678327432,-23.5044286529963,152.093425616893,705.36,22.62,73.7,933.41,17.69,296.12,27.3997628444287,20.193625216344,13.7533988905805,302.008015419636,304.54173380921,"ascent"
"20230309","12",2023-03-09 02:03:53,1678327433,-23.5044285330595,152.093425805695,708.36,22.6,73.5,933.02,17.62,296.1,27.3665198258267,20.1143920719826,13.7040985709417,302.023678090729,304.54844506647,"ascent"
"20230309","12",2023-03-09 02:03:54,1678327434,-23.5044285908759,152.093425828041,711.36,22.57,73.3,932.73,17.55,296.07,27.3167215418572,20.0231568901814,13.6449101757065,302.01990187361,304.533732877338,"ascent"
"20230309","12",2023-03-09 02:03:55,1678327435,-23.5044286652504,152.093425779656,714.36,22.53,73.1,932.4,17.47,296.03,27.2504473179813,19.9200769894444,13.5780415247354,302.009630752141,304.511057329547,"ascent"
"20230309","12",2023-03-09 02:03:56,1678327436,-23.5044287125946,152.093425911702,717.36,22.54,73,932.06,17.46,296.04,27.2670026550227,19.9049119381665,13.5725363375293,302.051306307983,304.552063729688,"ascent"
"20230309","12",2023-03-09 02:03:57,1678327437,-23.504428832504,152.093426015244,720.36,22.5,73,931.72,17.42,296,27.2008341269057,19.8566089126412,13.543931213938,302.041978151001,304.537387974238,"ascent"
"20230309","12",2023-03-09 02:03:58,1678327438,-23.5044288400703,152.093426043584,723.36,22.48,72.9,931.43,17.38,295.98,27.1678026431693,19.8053281268705,13.5124907378373,302.048433830532,304.538104095885,"ascent"
"20230309","12",2023-03-09 02:03:59,1678327439,-23.5044289213531,152.093426363849,726.32,22.45,73,931.13,17.37,295.95,27.118321303648,19.796374551663,13.5106954643976,302.045617509272,304.534933785531,"ascent"
"20230309","12",2023-03-09 02:04:00,1678327440,-23.5044290437298,152.093426563578,729.31,22.45,72.9,930.74,17.35,295.95,27.118321303648,19.7692562303594,13.4975622232561,302.081773123253,304.568967316091,"ascent"
"20230309","12",2023-03-09 02:04:01,1678327441,-23.504429072871,152.093426591156,732.31,22.44,72.9,930.46,17.34,295.94,27.1018450775651,19.757245061545,13.4933309955339,302.097534947515,304.584079187023,"ascent"
"20230309","12",2023-03-09 02:04:02,1678327442,-23.5044289490962,152.093426383296,735.31,22.43,72.9,930.17,17.33,295.93,27.085377621755,19.7452402862594,13.4892499021074,302.114233044195,304.60016262119,"ascent"
"20230309","12",2023-03-09 02:04:03,1678327443,-23.5044288637012,152.093426569886,738.31,22.38,72.7,929.81,17.24,295.88,27.0031717581942,19.6313058682072,13.415039694481,302.096598280542,304.568707373617,"ascent"
"20230309","12",2023-03-09 02:04:04,1678327444,-23.5044289330041,152.093426809524,741.31,22.36,72.4,929.51,17.15,295.86,26.9703506661382,19.526533882284,13.3463065329949,302.104030658583,304.563534187376,"ascent"
"20230309","12",2023-03-09 02:04:05,1678327445,-23.5044290104764,152.093427032541,744.31,22.34,72.3,929.19,17.11,295.84,26.9375645285682,19.4758591541548,13.315611546773,302.113328726028,304.567251200363,"ascent"
"20230309","12",2023-03-09 02:04:06,1678327446,-23.5044290679638,152.093427094783,747.31,22.31,72.1,928.88,17.04,295.81,26.8884507927688,19.3865730215863,13.2577833600135,302.111493608732,304.554744135761,"ascent"
"20230309","12",2023-03-09 02:04:07,1678327447,-23.5044291452168,152.093427241986,750.31,22.22,71.6,928.59,16.84,295.72,26.7415799796905,19.1469712654584,13.0946539164173,302.046522278305,304.459191030599,"ascent"
