"day_local","take_off","datetime_utc","epoch","dji_lat","dji_long","dji_alt","temp","hum","pres","dewtemp","temp_k","svp","avp","mratio","pottemp","vpottemp","dji_status","wspd","dir","u","v"
20230309,15,2023-03-09 05:00:13,1678338013,-23.5044171180519,152.093407460842,10.83,28,96.7,1008.09,27.43,301.5,37.74,36.49,23.36,300.81,305.09,"start",4.8,90,-4.8,0
20230309,15,2023-03-09 05:00:14,1678338014,-23.5044172044483,152.09340734328,13.16,27.88,96.3,1007.84,27.24,301.38,37.47,36.09,23.1,300.71,304.94,"ascent",4.8,90,-4.77,0
20230309,15,2023-03-09 05:00:15,1678338015,-23.5044170821545,152.093407518733,16.65,27.81,96.5,1007.48,27.2,301.31,37.32,36.01,23.06,300.67,304.9,"ascent",4.7,90,-4.74,0
20230309,15,2023-03-09 05:00:16,1678338016,-23.5044169815939,152.093407668343,19.71,27.81,96.7,1007.14,27.24,301.31,37.32,36.09,23.11,300.7,304.94,"ascent",4.7,90,-4.71,0
20230309,15,2023-03-09 05:00:17,1678338017,-23.5044167981057,152.093407728728,22.9,27.77,96.3,1006.81,27.13,301.27,37.23,35.85,22.97,300.69,304.9,"ascent",4.7,90,-4.68,0
20230309,15,2023-03-09 05:00:18,1678338018,-23.5044168755079,152.09340781964,26.02,27.65,95.6,1006.49,26.88,301.15,36.97,35.35,22.64,300.59,304.74,"ascent",4.6,90,-4.65,0
20230309,15,2023-03-09 05:00:19,1678338019,-23.5044171810094,152.093407799685,28.92,27.6,95.5,1006.17,26.81,301.1,36.86,35.21,22.55,300.57,304.71,"ascent",4.6,90,-4.62,0
20230309,15,2023-03-09 05:00:20,1678338020,-23.5044171847315,152.093407553049,31.67,27.61,95.5,1005.78,26.82,301.11,36.89,35.23,22.57,300.61,304.75,"ascent",4.6,90,-4.59,0
20230309,15,2023-03-09 05:00:21,1678338021,-23.5044171208082,152.093407504204,34.52,27.51,95.3,1005.51,26.69,301.01,36.67,34.95,22.4,300.54,304.64,"ascent",4.6,90,-4.56,0
20230309,15,2023-03-09 05:00:22,1678338022,-23.5044168070277,152.093407463153,37.72,27.58,95.3,1005.14,26.76,301.08,36.82,35.09,22.5,300.64,304.77,"ascent",4.5,90,-4.53,0
