"day_local","take_off","datetime_utc","epoch","dji_lat","dji_long","dji_alt","temp","hum","pres","dewtemp","temp_k","svp","avp","mratio","pottemp","vpottemp","dji_status","wspd","dir","u","v"
20230309,12,2023-03-09 02:00:00,1678327200,-23.5044177247687,152.093408265406,10.65,28.6,71.9,1009.92,23.03,302.1,39.08,28.1,17.8,301.25,304.52,"start",3.6,135,-2.546,2.546
20230309,12,2023-03-09 02:00:01,1678327201,-23.5044181193827,152.093407838626,12.62,28.18,72.3,1009.73,22.72,301.68,38.13,27.57,17.46,300.85,304.05,"ascent",3.6,135,-2.546,2.546
20230309,12,2023-03-09 02:00:02,1678327202,-23.5044176598196,152.093407062725,15.99,27.97,72.9,1009.39,22.66,301.47,37.67,27.46,17.39,300.67,303.86,"ascent",3.6,135,-2.546,2.546
20230309,12,2023-03-09 02:00:03,1678327203,-23.5044174571521,152.093407118498,19.4,27.75,73.1,1008.99,22.49,301.25,37.19,27.18,17.22,300.48,303.64,"ascent",3.6,135,-2.546,2.546
20230309,12,2023-03-09 02:00:04,1678327204,-23.504417423917,152.093407595613,22.36,27.65,73.3,1008.62,22.44,301.15,36.97,27.1,17.17,300.41,303.56,"ascent",3.6,135,-2.546,2.546
20230309,12,2023-03-09 02:00:05,1678327205,-23.5044172891309,152.093407785083,25.21,27.61,73.7,1008.29,22.49,301.11,36.89,27.18,17.23,300.4,303.56,"ascent",3.6,135,-2.546,2.546
20230309,12,2023-03-09 02:00:06,1678327206,-23.5044174860889,152.093407522646,28.45,27.58,74.2,1007.99,22.57,301.08,36.82,27.32,17.33,300.4,303.57,"ascent",3.6,135,-2.546,2.546
20230309,12,2023-03-09 02:00:07,1678327207,-23.504417331239,152.093407474817,31.54,27.57,74.8,1007.67,22.7,301.07,36.8,27.53,17.47,300.41,303.61,"ascent",3.6,135,-2.546,2.546
20230309,12,2023-03-09 02:00:08,1678327208,-23.5044170401833,152.093406939203,34.48,27.51,75,1007.35,22.68,301.01,36.67,27.5,17.46,300.38,303.58,"ascent",3.6,135,-2.546,2.546
20230309,12,2023-03-09 02:00:09,1678327209,-23.5044171915366,152.093407042107,37.26,27.45,75.5,1006.93,22.73,300.95,36.54,27.59,17.52,300.36,303.57,"ascent",3.6,135,-2.546,2.546
20230309,12,2023-03-09 02:00:10,1678327210,-23.5044173976161,152.093406926513,40.26,27.47,76.1,1006.67,22.88,300.97,36.58,27.84,17.69,300.4,303.64,"ascent",3.6,135,-2.546,2.546
20230309,12,2023-03-09 02:00:11,1678327211,-23.5044173002062,152.093407329841,43.48,27.43,76.6,1006.29,22.95,300.93,36.5,27.96,17.77,300.39,303.65,"ascent",3.6,135,-2.546,2.546
