"day_local","take_off","datetime_utc","epoch","dji_lat","dji_long","dji_alt","temp","hum","pres","dewtemp","temp_k","svp","avp","mratio","pottemp","vpottemp","dji_status"
"20230309","15",2023-03-09 05:08:34,1678338514,-23.5044740578989,152.093486904038,1500.8,18.3,82.4,849.71,15.25,291.8,20.9889624547307,17.2949050626981,12.9225336821367,305.69874133559,308.108486727303,"peak"
"20230309","15",2023-03-09 05:08:35,1678338515,-23.5044771529279,152.093490925415,1499.67,18.4,82.5,849.82,15.37,291.9,21.1209649177591,17.4247960571513,13.019897702835,305.792194502794,308.220838188152,"descent"
"20230309","15",2023-03-09 05:08:36,1678338516,-23.5044764137914,152.093489117433,1497.39,18.39,82.7,849.98,15.39,291.89,21.1077319548756,17.4560943266822,13.0412675412433,305.765271683664,308.197687378501,"descent"
"20230309","15",2023-03-09 05:08:37,1678338517,-23.5044748777463,152.093487260645,1495.02,18.39,83.3,850.33,15.51,291.89,21.1077319548756,17.5827407184114,13.1323605364547,305.729307971895,308.178425946192,"descent"
"20230309","15",2023-03-09 05:08:38,1678338518,-23.5044730824217,152.093485751022,1491.37,18.39,83.8,850.56,15.6,291.89,21.1077319548756,17.6882793781858,13.2092119980212,305.705685036813,308.168945070431,"descent"
"20230309","15",2023-03-09 05:08:39,1678338519,-23.5044717473154,152.093485425172,1488.09,18.4,84.2,850.9,15.68,291.9,21.1209649177591,17.7838524607532,13.2766874675101,305.681251338717,308.156896346325,"descent"
"20230309","15",2023-03-09 05:08:40,1678338520,-23.5044709685934,152.093485460807,1484.93,18.4,84.4,851.23,15.72,291.9,21.1209649177591,17.8260943905887,13.3036284729276,305.647388144895,308.127781915211,"descent"
"20230309","15",2023-03-09 05:08:41,1678338521,-23.504470594365,152.093485458279,1482.02,18.42,84.6,851.5,15.78,291.92,21.1474526954793,17.8907449803755,13.3485881885779,305.640634474393,308.129355762003,"descent"
"20230309","15",2023-03-09 05:08:42,1678338522,-23.504470640694,152.093485608487,1479.28,18.5,85.5,851.85,16.02,292,21.2536956665664,18.1719097949143,13.5572505358303,305.68849985139,308.216520154218,"descent"
"20230309","15",2023-03-09 05:08:43,1678338523,-23.504471176295,152.093486059348,1476.42,18.55,85.8,852.11,16.13,292.05,21.3203352156503,18.2928476150279,13.6452007476405,305.714186824062,308.258821008938,"descent"
"20230309","15",2023-03-09 05:08:44,1678338524,-23.504471632171,152.093485983019,1473.28,18.5,86.1,852.41,16.13,292,21.2536956665664,18.2994319689137,13.6453105114969,305.631107704392,308.175070838018,"descent"
"20230309","15",2023-03-09 05:08:45,1678338525,-23.5044716673071,152.093486059767,1470.02,18.52,86.3,852.67,16.19,292.02,21.2803295111477,18.3649243681205,13.6909535167203,305.625409639935,308.17783463885,"descent"
"20230309","15",2023-03-09 05:08:46,1678338526,-23.5044713281918,152.093485634028,1467.14,18.54,86.6,852.99,16.26,292.04,21.3069926512284,18.4518556359638,13.7519186239787,305.61357605966,308.177267606957,"descent"
"20230309","15",2023-03-09 05:08:47,1678338527,-23.5044712655588,152.093485326948,1464.06,18.59,86.9,853.23,16.37,292.09,21.3737788492617,18.5738138200084,13.8408546811386,305.641332102477,308.221837832407,"descent"
"20230309","15",2023-03-09 05:08:48,1678338528,-23.5044713603114,152.093485704813,1461.12,18.59,86.8,853.6,16.35,292.09,21.3737788492617,18.5524400411591,13.8184478174734,305.603474021118,308.179483072864,"descent"
"20230309","15",2023-03-09 05:08:49,1678338529,-23.5044715764958,152.093485488721,1458.34,18.53,86.6,853.85,16.25,292.03,21.2936574175371,18.4403073235871,13.7289739951509,305.515135544728,308.073725248849,"descent"
"20230309","15",2023-03-09 05:08:50,1678338530,-23.5044709815466,152.093485623465,1455.03,18.5,86,854.23,16.11,292,21.2536956665664,18.2781782732471,13.5994422706426,305.44491750392,307.978784622618,"descent"
"20230309","15",2023-03-09 05:08:51,1678338531,-23.5044710722055,152.09348565708,1451.97,18.44,85.4,854.53,15.94,291.94,21.1739696318892,18.0825700656334,13.4459330033503,305.351519417427,307.856018421688,"descent"
"20230309","15",2023-03-09 05:08:52,1678338532,-23.5044714738051,152.093486157582,1449.17,18.45,85,854.77,15.88,291.95,21.1872390431397,18.0091531866688,13.3863254359596,305.337479580022,307.830761170389,"descent"
"20230309","15",2023-03-09 05:08:53,1678338533,-23.504472247661,152.093486346772,1446.24,18.45,84.9,855.12,15.86,291.95,21.1872390431397,17.9879659476256,13.3646482577977,305.301767384805,307.79072033229,"descent"
"20230309","15",2023-03-09 05:08:54,1678338534,-23.5044726836966,152.093486545886,1443.09,18.47,84.7,855.35,15.85,291.97,21.2137997688168,17.9680884041878,13.3458960481426,305.299222656205,307.784662586586,"descent"
"20230309","15",2023-03-09 05:08:55,1678338535,-23.5044724976084,152.093486683404,1440.1,18.49,84.4,855.68,15.81,291.99,21.2403897215237,17.926888924966,13.309395044028,305.28648844399,307.765027314536,"descent"
"20230309","15",2023-03-09 05:08:56,1678338536,-23.504472659666,152.093486831518,1436.93,18.45,84.2,856,15.73,291.95,21.1872390431397,17.8396552743236,13.2381953653541,305.212059689373,307.676738382532,"descent"
"20230309","15",2023-03-09 05:08:57,1678338537,-23.5044718866909,152.093486596794,1434.07,18.48,84.2,856.26,15.76,291.98,21.2270910900812,17.8732106978484,13.259513388795,305.216937884692,307.685625010057,"descent"
"20230309","15",2023-03-09 05:08:58,1678338538,-23.5044714755325,152.093486313649,1431.27,18.49,84.2,856.51,15.77,291.99,21.2403897215237,17.884408145523,13.2640423119846,305.201934171856,307.671343106674,"descent"
"20230309","15",2023-03-09 05:08:59,1678338539,-23.5044723611957,152.093486351555,1428.23,18.48,84,856.87,15.73,291.98,21.2270910900812,17.8307565156682,13.2177317284889,305.154841554765,307.61524900187,"descent"
"20230309","15",2023-03-09 05:09:00,1678338540,-23.5044725903497,152.093486955896,1425.17,18.49,83.9,857.21,15.72,291.99,21.2403897215237,17.8206869763584,13.2047579194917,305.130705188062,307.588503216508,"descent"
"20230309","15",2023-03-09 05:09:01,1678338541,-23.5044726317312,152.093487209375,1422.19,18.51,84,857.48,15.75,292.01,21.2670089286328,17.8642875000516,13.2334956706849,305.124149333046,307.587243389671,"descent"
"20230309","15",2023-03-09 05:09:02,1678338542,-23.5044728906817,152.093487205852,1419.26,18.55,84.1,857.69,15.81,292.05,21.3203352156503,17.9304019163619,13.2801960291603,305.144595874252,307.616547705026,"descent"
"20230309","15",2023-03-09 05:09:03,1678338543,-23.5044732015584,152.093487222887,1416.5,18.61,84.1,858.09,15.87,292.11,21.400544739691,17.9978581260802,13.3248809990156,305.166629927523,307.647078435003,"descent"
"20230309","15",2023-03-09 05:09:04,1678338544,-23.5044737093162,152.09348734711,1413.21,18.65,84.2,858.45,15.93,292.15,21.4541648052805,18.0644067660462,13.3694808272967,305.171843113047,307.66063646742,"descent"
"20230309","15",2023-03-09 05:09:05,1678338545,-23.504473077003,152.093487326623,1409.83,18.68,84.4,858.69,16,292.18,21.4944572120131,18.1413218869391,13.4238007480416,305.178805591023,307.677767873079,"descent"
"20230309","15",2023-03-09 05:09:06,1678338546,-23.5044729687966,152.093487217112,1407.03,18.71,84.6,859.04,16.06,292.21,21.5348160285654,18.2184543601663,13.4765005929646,305.174605879193,307.683344191017,"descent"
"20230309","15",2023-03-09 05:09:07,1678338547,-23.5044736366452,152.093487416292,1404.33,18.77,84.7,859.26,16.14,292.27,21.615733263773,18.3085260744157,13.5410357381834,305.21493696885,307.736022054137,"descent"
"20230309","15",2023-03-09 05:09:08,1678338548,-23.5044736811523,152.093487603748,1401.4,18.79,84.6,859.56,16.14,292.29,21.6427649182185,18.3097791208129,13.5371534379751,305.205381246682,307.725664613061,"descent"
"20230309","15",2023-03-09 05:09:09,1678338549,-23.5044735037741,152.093487574216,1398.18,18.83,84.9,859.92,16.24,292.33,21.6969172572473,18.4206827514029,13.6151174648017,305.210631900261,307.745473849206,"descent"
"20230309","15",2023-03-09 05:09:10,1678338550,-23.504473362533,152.093487491089,1395.01,18.85,85.1,860.14,16.29,292.35,21.7240379972613,18.4871563356694,13.6617569971428,305.209205452666,307.752718791559,"descent"
"20230309","15",2023-03-09 05:09:11,1678338551,-23.5044732072057,152.093487837706,1391.97,18.88,85.2,860.48,16.34,292.38,21.7647748984373,18.5435882134685,13.6988439977998,305.206060395444,307.756452222653,"descent"
"20230309","15",2023-03-09 05:09:12,1678338552,-23.5044731012365,152.093488042212,1389.12,18.88,85.1,860.78,16.32,292.38,21.7647748984373,18.5218234385701,13.6775383661084,305.175664967624,307.721836605882,"descent"
