Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2023/03/09 15:33:50.5837,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.96,25.13,75.9,25.75,2015/10/18,00:00:25,0,0,-17,0,
2023/03/09 15:33:50.8936,0.310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.43,35.7,49.8,39,2023/03/09,04:50:31,152.0914604,-23.5068738,35.746,4,
2023/03/09 15:33:50.9234,0.340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.4,35.98,49.7,39.08,2023/03/09,04:50:32,152.0914582,-23.5068699,35.48,4,
2023/03/09 15:33:50.9436,0.360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.39,36.25,49.2,39.26,2023/03/09,04:50:33,152.0914568,-23.5068705,35.537,4,
2023/03/09 15:33:50.9743,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.4,36.87,48.9,39.47,2023/03/09,04:50:34,152.0914565,-23.5068668,35.304,4,
2023/03/09 15:33:51.0042,0.420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.4,37.18,48.7,39.61,2023/03/09,04:50:35,152.0914555,-23.5068639,34.986,4,
2023/03/09 15:33:51.0243,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.42,37.33,48.5,39.76,2023/03/09,04:50:36,152.0914549,-23.5068607,34.447,4,
2023/03/09 15:33:51.0542,0.470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.35,36.28,48.2,39.81,2023/03/09,04:50:37,152.0914556,-23.5068552,33.816,4,
2023/03/09 15:33:51.0742,0.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.39,35.51,48,39.87,2023/03/09,04:50:38,152.0914525,-23.5068536,33.973,4,
2023/03/09 15:33:51.1041,0.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.38,35.46,48.6,39.91,2023/03/09,04:50:39,152.0914482,-23.5068538,34.418,4,
2023/03/09 15:33:51.1341,0.550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.37,35.15,49.5,39.97,2023/03/09,04:50:40,152.0914498,-23.5068511,34.102,4,
2023/03/09 15:33:51.1443,0.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.39,35.08,50.1,40.02,2023/03/09,04:50:41,152.0914467,-23.5068507,34.347,4,
2023/03/09 15:33:51.1742,0.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.37,35.08,48.9,40.05,2023/03/09,04:50:41,152.091469,-23.5067503,21.473,6,
2023/03/09 15:33:51.2041,0.620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.38,35.46,47.7,40.02,2023/03/09,04:50:42,152.091474,-23.5067334,19.066,6,
2023/03/09 15:33:51.2242,0.640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.43,35.94,48.1,40.08,2023/03/09,04:50:43,152.0914761,-23.5067278,18.437,6,
2023/03/09 15:33:51.2540,0.670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.42,36.48,47.4,40.19,2023/03/09,04:50:44,152.0914778,-23.5067217,17.537,6,
2023/03/09 15:33:51.2841,0.700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.45,36.6,47.1,40.27,2023/03/09,04:50:45,152.0914786,-23.5067172,16.818,6,
2023/03/09 15:33:51.3040,0.720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.46,36.6,46.8,40.37,2023/03/09,04:50:46,152.0914788,-23.5067138,16.293,6,
2023/03/09 15:33:51.3342,0.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.4,36.25,46.9,40.41,2023/03/09,04:50:47,152.0914805,-23.5067076,15.535,6,
2023/03/09 15:33:51.3540,0.770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.37,35.29,46.6,40.31,2023/03/09,04:50:48,152.0914821,-23.5067032,14.931,6,
