Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2023/03/09 12:34:28.0260,0.690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,34.82,52.3,38.4,2023/03/09,01:46:17,152.0915239,-23.50671,3.328,6,
2023/03/09 12:34:28.0559,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.25,34.97,51.8,38.5,2023/03/09,01:46:18,152.0915243,-23.5067074,3.024,6,
2023/03/09 12:34:28.0760,0.740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,34.82,51.4,38.58,2023/03/09,01:46:19,152.0915251,-23.5067071,2.906,6,
2023/03/09 12:34:28.1060,0.770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.31,34.76,51.4,38.62,2023/03/09,01:46:20,152.0915259,-23.5067092,2.667,6,
2023/03/09 12:34:28.1260,0.790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,34.48,51,38.65,2023/03/09,01:46:21,152.0915283,-23.5067078,2.613,6,
2023/03/09 12:34:28.1559,0.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.3,34.23,51.2,38.58,2023/03/09,01:46:22,152.0915303,-23.5067053,2.622,6,
2023/03/09 12:34:28.1858,0.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.31,34.36,51.5,38.55,2023/03/09,01:46:23,152.0915307,-23.5067043,2.787,6,
2023/03/09 12:34:28.2059,0.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.31,34.07,51.5,38.54,2023/03/09,01:46:24,152.0915306,-23.506705,2.864,6,
2023/03/09 12:34:28.2359,0.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,33.91,51.3,38.59,2023/03/09,01:46:25,152.091531,-23.5067083,2.781,6,
2023/03/09 12:34:28.2559,0.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,33.8,51.3,38.58,2023/03/09,01:46:26,152.0915374,-23.5067084,1.578,6,
2023/03/09 12:34:28.2859,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.24,34.18,51.3,38.62,2023/03/09,01:46:27,152.0915386,-23.5067095,1.333,6,
2023/03/09 12:34:28.3165,0.980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,34.71,50.9,38.75,2023/03/09,01:46:28,152.0915404,-23.5067091,0.727,6,
2023/03/09 12:34:28.3366,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.3,34.8,50.8,38.8,2023/03/09,01:46:29,152.0915386,-23.5067065,0.591,6,
2023/03/09 12:34:28.3664,1.030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,35.06,50.7,38.9,2023/03/09,01:46:30,152.0915363,-23.5067057,0.854,6,
2023/03/09 12:34:28.3864,1.050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,35.2,50.4,38.98,2023/03/09,01:46:31,152.0915157,-23.5067218,5.65,8,
2023/03/09 12:34:28.4164,1.080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,35.41,50.4,39.08,2023/03/09,01:46:32,152.0915098,-23.5067276,7.201,8,
2023/03/09 12:34:28.4364,1.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.25,35.91,50.2,39.23,2023/03/09,01:46:33,152.0915038,-23.5067316,8.345,8,
2023/03/09 12:34:28.4664,1.130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,35.72,49.9,39.19,2023/03/09,01:46:34,152.0914988,-23.506735,9.125,8,
2023/03/09 12:34:28.4966,1.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,35.41,49.9,39.26,2023/03/09,01:46:35,152.0914929,-23.5067376,10.426,9,
2023/03/09 12:34:28.5164,1.180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.24,35.53,49.7,39.33,2023/03/09,01:46:36,152.0914841,-23.5067399,12.301,9,
2023/03/09 12:34:28.5465,1.210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,35.96,49.6,39.46,2023/03/09,01:46:37,152.0914866,-23.5067444,12.844,10,
2023/03/09 12:34:28.5664,1.230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,36.18,49,39.57,2023/03/09,01:46:38,152.0914889,-23.5067497,13.354,10,
2023/03/09 12:34:28.5964,1.260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.25,35.81,48.7,39.62,2023/03/09,01:46:39,152.0914881,-23.5067526,13.536,11,
2023/03/09 12:34:28.6265,1.290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.33,35.62,48.4,39.66,2023/03/09,01:46:40,152.0914896,-23.5067537,13.7,11,
2023/03/09 12:34:28.6465,1.310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,35.89,48.2,39.76,2023/03/09,01:46:41,152.0914905,-23.5067547,13.777,11,
2023/03/09 12:34:28.6764,1.340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,35.89,48,39.85,2023/03/09,01:46:42,152.0914917,-23.506755,13.818,11,
2023/03/09 12:34:28.7063,1.370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.3,35.76,47.9,39.94,2023/03/09,01:46:43,152.0914928,-23.5067575,14.136,11,
