Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2023/03/09 10:12:33.5160,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.47,23.99,70,24.48,2015/10/18,00:00:20,0,0,-17,0,
2023/03/09 10:12:34.6960,1.180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.78,30.09,86.2,31.29,2023/03/08,23:20:01,152.0914786,-23.5067418,18.196,4,
2023/03/09 10:12:34.7258,1.210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.71,30.34,86.7,31.36,2023/03/08,23:20:02,152.0914862,-23.5067384,17.864,5,
2023/03/09 10:12:34.7459,1.230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.74,30.24,86.3,31.4,2023/03/08,23:20:03,152.0914866,-23.5067398,18.007,5,
2023/03/09 10:12:34.7758,1.260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.7,30.15,85.6,31.43,2023/03/08,23:20:04,152.0914883,-23.5067392,17.835,5,
2023/03/09 10:12:34.7959,1.280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.74,29.95,84.9,31.44,2023/03/08,23:20:05,152.0914918,-23.5067353,17.507,5,
2023/03/09 10:12:34.8258,1.310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.73,29.95,85,31.44,2023/03/08,23:20:06,152.09149,-23.5067371,17.778,5,
2023/03/09 10:12:34.8459,1.330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.73,30.15,85.5,31.49,2023/03/08,23:20:07,152.0914901,-23.5067379,17.73,5,
2023/03/09 10:12:34.8758,1.360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.74,30.15,86.1,31.49,2023/03/08,23:20:08,152.0914886,-23.5067389,17.86,5,
2023/03/09 10:12:34.9059,1.390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.73,30.07,86.4,31.49,2023/03/08,23:20:09,152.0914885,-23.5067391,17.931,5,
