time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2023-03-08 23:30:24,-23.5067215047082,152.09149678433,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1.0452784,0.3,0,0,0,16,5,0,1.0452784,0,0,0,0,0,0,327.1, 0.3, -0.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,,1.0452784,0,41,Motors_Started,
100,2023-03-08 23:30:25,-23.5067214946555,152.091496793616,0,,,1.0452784,0.3,0,0.0014651,0.0014651,16,5,0,1.0452784,0,0,0.0014651,0,0,0,327.1, 0.3, -0.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,,1.0452784,0,41,Motors_Started,
200,2023-03-08 23:30:25,-23.5067214982982,152.091496794221,0,,,1.0452784,0.3,0,0.0012351,0.00187485,16,5,0,1.0452784,0,0,0.0014651,0,0,0,327.1, 0.3, -0.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,,1.0452784,0,41,Motors_Started,
300,2023-03-08 23:30:25,-23.5067214905484,152.091496643066,0,,,1.0452784,0.3,0,0.0144916,0.0173133,16,5,0,1.0452784,0,0,0.0144916,0,0,0,327.1, 0.3, -0.1,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,,1.0452784,0,41,Motors_Started,
400,2023-03-08 23:30:25,-23.5067214934336,152.09149663081,0,,,1.0452784,0.3,0,0.0157058,0.0186037,16,5,0,1.0452784,0,0,0.0157058,0,0,0,327.1, 0.3, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,,1.0452784,0,41,Motors_Started,
500,2023-03-08 23:30:25,-23.5067214864232,152.09149665615,0,,,1.0452784,0.3,0,0.0132287,0.0213029,16,5,0,1.0452784,0,0,0.0157058,0,0,0,327.1, 0.3, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,,1.0452784,0,41,Motors_Started,"Setting new Return-To-Home altitude to 50m (164 ft). Data Recorder File Index is 79"
600,2023-03-08 23:30:25,-23.5067214885952,152.091496647848,0,,,1.0452784,0.3,0,0.014033,0.0221834,16,5,0,1.0452784,0,0,0.0157058,0,0,0,327.1, 0.3, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,,1.0452784,0,41,Motors_Started,
700,2023-03-08 23:30:25,-23.5067214838724,152.091496669622,0,,,1.0452784,0.3,0,0.011925,0.0244651,16,5,0,1.0452784,0,0,0.0157058,0,0,0,327.1, 0.3, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,,1.0452784,0,41,Motors_Started,
800,2023-03-08 23:30:25,-23.5067214852896,152.091496664632,0,,,1.0452784,0.2,0,0.0123961,0.0249978,16,5,0,1.0452784,0,0,0.0157058,0,0,0,327, 0.3, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,,1.0452784,0,41,Motors_Started,
900,2023-03-08 23:30:25,-23.5067214852035,152.091496680824,0,,,1.0452784,0.3,0,0.0107758,0.0266491,16,5,0,1.0452784,0,0,0.0157058,0,0,0,327, 0.3, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,,1.0452784,0,41,Motors_Started,
